"","mergedColors"
"GJA4","turquoise"
"GPNMB","turquoise"
"INPP5A","blue"
"LAX1","turquoise"
"WDR43","red"
"WISP3","turquoise"
"CREM","red"
"MALT1","turquoise"
"ANG","pink"
"DDX21","red"
"ARHGAP12","blue"
"ASCC3","green"
"ZFAND1","yellow"
"PLEKHA4","yellow"
"TRAF3IP2","magenta"
"TMEM106B","brown"
"CISH","grey"
"KAT6B","blue"
"IL7","turquoise"
"MRPS30","red"
"HMGA1","blue"
"ARHGAP4","turquoise"
"HEBP2","pink"
"CALML4","turquoise"
"PTRF","blue"
"COL11A1","magenta"
"SNAPC1","red"
"GMIP","turquoise"
"SNCAIP","blue"
"INSIG1","red"
"ATN1","brown"
"HDGFRP3","turquoise"
"PMP22","turquoise"
"ADARB1","blue"
"SERPINA5","turquoise"
"BBS10","blue"
"DIO3","brown"
"IRF2","turquoise"
"SKAP1","turquoise"
"ZNF593","red"
"HPS5","turquoise"
"HSPB11","brown"
"CNN2","turquoise"
"MATK","yellow"
"ZNF12","yellow"
"NCKAP1","yellow"
"GNE","magenta"
"EIF5B","red"
"EVI2A","turquoise"
"RAB31","turquoise"
"TUBB6","red"
"ALDH6A1","blue"
"PLA1A","green"
"NTAN1","brown"
"EVX1","green"
"LHFPL2","turquoise"
"CAPN7","blue"
"IL15RA","turquoise"
"VCAN","grey"
"CDA","brown"
"RSL1D1","red"
"BIRC7","green"
"RBM6","black"
"MAGI2","turquoise"
"EFR3A","yellow"
"TUBB2A","red"
"PPDPF","red"
"TBC1D17","purple"
"AIDA","green"
"SPIB","turquoise"
"HNRNPA1","turquoise"
"GNAL","turquoise"
"ZNF205","green"
"WDR11","yellow"
"PIGA","magenta"
"POT1","blue"
"PLOD1","yellow"
"SH2B2","blue"
"TES","brown"
"COLGALT1","yellow"
"PSD3","brown"
"CTDSPL","blue"
"FZD4","blue"
"NACC2","yellow"
"G3BP2","yellow"
"PIK3IP1","red"
"RECQL","yellow"
"TXN","blue"
"BNIP3L","yellow"
"AGAP11 ","black"
"UCHL5","yellow"
"UPP1","brown"
"AP1S2","turquoise"
"ORC5","brown"
"AGRN","red"
"MAT2A","greenyellow"
"ZBTB38","green"
"ITGAL","turquoise"
"LINC00597","black"
"EXTL2","blue"
"PDE4D","turquoise"
"RRAD","turquoise"
"CD99","yellow"
"TFAM","green"
"UBXN4","grey"
"FBXO28","yellow"
"P2RX5","turquoise"
"SCRN1","red"
"WSB2","turquoise"
"ROCK2","green"
"C8orf60","black"
"TNIP1","turquoise"
"KCNK1","turquoise"
"UBA2","yellow"
"RNF146","blue"
"KIAA0922","turquoise"
"LOC100129518 ","blue"
"L1TD1","green"
"STK38","turquoise"
"CHKA","brown"
"TMBIM4","yellow"
"NUP50","yellow"
"ECE1","turquoise"
"CUL4B","blue"
"SLC30A1","brown"
"EPN1","green"
"EPS8","blue"
"CORO7","yellow"
"LOC101060181 ","black"
"TMED3","turquoise"
"EMP2","blue"
"RAB40B","blue"
"CLOCK","green"
"TIMM17A","red"
"NUP153","yellow"
"PSMD14","blue"
"NME1","blue"
"DUSP4","pink"
"GLRX","magenta"
"BMI1 ","yellow"
"LY9","turquoise"
"GPX7","magenta"
"KDM3A","blue"
"RPN2","turquoise"
"H2AFX","blue"
"PTEN","yellow"
"USP32 ","green"
"BUB1B","turquoise"
"MCOLN1","green"
"MYO1B","grey"
"TXNIP","blue"
"DAPK1","red"
"SMTN","turquoise"
"ZNF365","grey"
"APLP2","green"
"DAG1","blue"
"PKIG","turquoise"
"MTO1","brown"
"ATRX","blue"
"B3GNT2","black"
"DCHS1","magenta"
"TOMM40","blue"
"TMEM165","red"
"JADE1","pink"
"ATP2B1","green"
"RAPGEF1","green"
"FBXW2","brown"
"ZNF271","yellow"
"AVPI1","blue"
"SCP2","brown"
"LGR4","pink"
"EHBP1","blue"
"SGSH","red"
"SNTA1","turquoise"
"CCNB1IP1","pink"
"SPTSSA","yellow"
"ARVCF","green"
"AP5M1","brown"
"FLNA","yellow"
"DPY30 ","purple"
"AGGF1","brown"
"RORA","yellow"
"FAM13A","blue"
"ADAMTS3","grey"
"MTRR","red"
"GOLPH3L","blue"
"TOP1","red"
"IFFO1","red"
"RPL27A","yellow"
"SSBP1","yellow"
"MILR1","turquoise"
"FKBP1B","blue"
"DOK1","yellow"
"FAM8A1","blue"
"MGAT4A","turquoise"
"SP3","yellow"
"PDGFRA","blue"
"MAN1A2","brown"
"DCAF7","brown"
"ATP2A2","blue"
"TCN2","turquoise"
"NMT2","blue"
"SORBS3","purple"
"RYBP","red"
"SMAD1","blue"
"FGD2","black"
"RAP2A","red"
"SEMA3C","turquoise"
"DGKA","turquoise"
"MAB21L1 ","blue"
"NCRNA00185 ","greenyellow"
"CCPG1 ","brown"
"H2AFV","yellow"
"ADCY1","green"
"SH2D2A","turquoise"
"ARL4D","purple"
"SERBP1","red"
"PLXNA3","green"
"SMC3","yellow"
"BBC3 ","green"
"TOP2A","turquoise"
"GLB1 ","turquoise"
"FAM49B","turquoise"
"G3BP1","red"
"CERK","turquoise"
"APPL1","yellow"
"PKM","yellow"
"MEIS3P1","turquoise"
"ERI2","brown"
"TOM1L1","blue"
"PLCH2","green"
"BATF3","red"
"SP140L","turquoise"
"CDC25B","red"
"PARD6A","green"
"STX6","green"
"LOC100996756","turquoise"
"USP12","yellow"
"PTER","brown"
"PGM3","yellow"
"CHST3","brown"
"TSPAN15","green"
"PINK1","purple"
"LIMD2","turquoise"
"TUBB2A ","brown"
"DERA","brown"
"LOC101930075 ","black"
"FAR2","brown"
"GNG10","purple"
"TAF2","red"
"KIN","yellow"
"DLG4","green"
"BAG3","turquoise"
"GNA14","green"
"QKI","yellow"
"CD82","yellow"
"SREK1","red"
"COMMD10","brown"
"VWA5A","red"
"VARS","brown"
"PIGV","brown"
"CD58","turquoise"
"GLYAT","green"
"CCDC88A","turquoise"
"NR3C2","blue"
"CISD1","blue"
"CAAP1","green"
"CTR9","yellow"
"EPM2AIP1","yellow"
"CARD10","green"
"SOX4","black"
"LOC101930112 ","black"
"CRTAM","turquoise"
"SLC47A1","turquoise"
"TCL1A","turquoise"
"GYG2","pink"
"COMT","turquoise"
"SCPEP1","turquoise"
"NGFRAP1","red"
"EMC2","yellow"
"CHST7","blue"
"HTRA1","turquoise"
"MSMO1","green"
"ZNF587B","purple"
"RPRD1A","green"
"HOXA5","blue"
"UBXN7","blue"
"FAM110B","turquoise"
"KAZN","brown"
"PPP2R5C","brown"
"SLTM","yellow"
"ZBTB11","yellow"
"ITGB4","blue"
"GPR176","magenta"
"EDEM2","blue"
"HDAC7","green"
"PDXK","turquoise"
"SLC39A7","green"
"GSTM1","green"
"OSER1","pink"
"PLEC","yellow"
"FXYD6","green"
"MIR6787 ","blue"
"NFYB","yellow"
"MAP3K12","purple"
"TBC1D16","pink"
"IFT122 ","turquoise"
"DBP","magenta"
"ARSA","turquoise"
"SLC23A2","black"
"TOR4A","black"
"CMTM6","turquoise"
"SEPT10","yellow"
"ARHGAP22","yellow"
"TOR3A","turquoise"
"KCNS3","green"
"PRKX ","pink"
"MORC3","yellow"
"ALDH3B1","green"
"BCLAF1","yellow"
"COPS2","yellow"
"ZNF91","green"
"PKN2","green"
"CCBL2","yellow"
"CES1P1","green"
"DYNC2H1","blue"
"HSPA8 ","red"
"SMCHD1","green"
"PPP2R3C","yellow"
"DNMBP","turquoise"
"KYNU","turquoise"
"POP5","brown"
"RNFT1 ","grey"
"ARPIN","green"
"ACBD3","yellow"
"CCNA2","turquoise"
"CBX7","blue"
"ARID4B","yellow"
"NDUFA5","yellow"
"SRRM2","black"
"CHST12","purple"
"HHEX","brown"
"GTPBP4","red"
"ETFB","pink"
"LOC732360 ","black"
"ZDHHC17","yellow"
"SPTBN1","blue"
"PLA2G2A","magenta"
"CDKN2C","green"
"ZFR","yellow"
"DDIT3","turquoise"
"CPSF6","yellow"
"SAA1 ","green"
"SELPLG","turquoise"
"HIGD1A","yellow"
"ZNF266","grey"
"APBB1IP","green"
"GPR1","turquoise"
"LINC00341 ","blue"
"DSERG1","black"
"SAMHD1","red"
"DHCR24","pink"
"DCXR","pink"
"IBTK","yellow"
"THSD7A","blue"
"DUSP7","yellow"
"SF1","brown"
"CBY1","blue"
"FKBP2","yellow"
"TP53","black"
"IGH","green"
"MSX2","turquoise"
"SNN","turquoise"
"SLC26A2","grey"
"CORO1B","turquoise"
"SIRPG","turquoise"
"MYOF","magenta"
"RABGAP1L","blue"
"PTK2","blue"
"AUH","blue"
"CAT","blue"
"NELL2","turquoise"
"PLEKHO2","turquoise"
"NXT1","red"
"GCOM1 ","blue"
"CD151","purple"
"ESRRA","green"
"STARD3","green"
"FBXL5","yellow"
"AKR1A1","turquoise"
"SQRDL","turquoise"
"MARCH2","turquoise"
"ATP8B4","brown"
"VRK1","brown"
"PCNA","turquoise"
"HAUS3","brown"
"MARK2","green"
"SCNN1A","green"
"AR","pink"
"SPDYE2","black"
"WBP4","yellow"
"TNFRSF14","green"
"STXBP3","yellow"
"HSD17B14","green"
"AP2S1","turquoise"
"CHERP","yellow"
"ARPC3","turquoise"
"RFC4","brown"
"LPIN1","pink"
"CROCCP2","brown"
"MCM6","green"
"BCL10","yellow"
"PHC2","brown"
"CRNKL1","green"
"NUDT21","black"
"LOC101928625 ","yellow"
"SLC25A4","pink"
"PIP5K1B","brown"
"DYNLT3","pink"
"SLC35A1","blue"
"SMAD7","turquoise"
"CHPF","yellow"
"INTS6","green"
"RIPK2","turquoise"
"ABCC5","black"
"CTNNAL1","yellow"
"MAPK8IP3","black"
"ATG3","yellow"
"SVIL","turquoise"
"PFDN4","yellow"
"EED","brown"
"KARS","red"
"LOC101928143 ","yellow"
"BDH2","turquoise"
"SIGLEC1","turquoise"
"PARVA","pink"
"CD163","turquoise"
"PIGF","brown"
"PTPN1","blue"
"NUCB1","red"
"S100A3","grey"
"RMDN1","brown"
"FAM98A","purple"
"PSMA4","yellow"
"AKAP9","blue"
"SH3PXD2A","green"
"ATIC","black"
"H2AFJ","blue"
"DLAT","green"
"SLC9A5","brown"
"ERLIN2","blue"
"WDR7","brown"
"BIN3-IT1","black"
"TLN1","yellow"
"MSX1","red"
"ERG","blue"
"CAMLG","blue"
"CYTH1","green"
"AGAP1","blue"
"PLXDC2","green"
"TBC1D4","brown"
"UBE2G2","brown"
"DCLRE1C","black"
"MAN2C1","black"
"FAM117A","brown"
"MOXD1","turquoise"
"YWHAH","turquoise"
"CDC42BPB","yellow"
"KCNK2","brown"
"UBA3","yellow"
"BACH2","black"
"GPC1","brown"
"GFRA2","blue"
"STIP1","blue"
"IFI44","brown"
"TBC1D12","blue"
"TDRD7","brown"
"HBG1 ","turquoise"
"GM2A","turquoise"
"RNASE1","turquoise"
"TSPO","turquoise"
"Y16709","turquoise"
"CAPN15","brown"
"RNF19A","green"
"EYA2","pink"
"CIT ","green"
"HOXD1","green"
"PFKM","blue"
"HMGN3","brown"
"AQP7 ","pink"
"SERPINB1","turquoise"
"SYNJ1","yellow"
"KTN1","yellow"
"CERS6","brown"
"ATP13A3","purple"
"OGFOD1","green"
"DNAJC4","green"
"WDR5B","brown"
"LILRB3","blue"
"CDK5RAP3","black"
"CARD8","black"
"MLLT11","turquoise"
"VNN1","turquoise"
"PDZRN3","brown"
"PDCD1","green"
"TMEM242","green"
"MCFD2","yellow"
"ICE2","brown"
"PRKCDBP","magenta"
"C6orf48","pink"
"ZNF544","brown"
"PPP2R5A","blue"
"PFN2","blue"
"PSD4","turquoise"
"SH3TC1","yellow"
"GCLC","green"
"S100PBP","brown"
"PLCL2","brown"
"FOXN3","red"
"SUCLG2","brown"
"ENPP2","grey"
"CHD3","yellow"
"CEP192","brown"
"SLC38A2","grey"
"PSTPIP2","turquoise"
"TMX1","yellow"
"LEF1","yellow"
"ASPH","magenta"
"CACNA1I","green"
"LGALS3BP","yellow"
"DUSP14","grey"
"HEG1","magenta"
"ZC3HAV1","turquoise"
"SELT","turquoise"
"ZNF451","blue"
"FCGBP","turquoise"
"PTAFR","pink"
"CD302 ","blue"
"LDOC1","blue"
"KLF13","purple"
"SOS2","yellow"
"ADPRM","blue"
"CNPY4","green"
"SLC4A1AP","brown"
"UEVLD","black"
"LOC100996792 ","blue"
"ALDH1L1","pink"
"RASA1","brown"
"TMEM230","black"
"ITGAV","yellow"
"ALAS1","turquoise"
"ADCY9","blue"
"FGF7","pink"
"VPS37B","green"
"ABCA3","purple"
"NRGN","turquoise"
"TRIM29","green"
"MID1IP1","blue"
"HCLS1","turquoise"
"ILF2","red"
"RPS11","grey"
"EZH1","blue"
"PPA1","red"
"THAP1","brown"
"RBFOX2","blue"
"POLG","green"
"ZFC3H1","yellow"
"YIPF5","black"
"MXRA7","turquoise"
"PPM1D","blue"
"ARHGAP33","black"
"LRRFIP2","turquoise"
"DDX3Y","greenyellow"
"KCND3","turquoise"
"PDK1","turquoise"
"CDC42EP2","brown"
"FAM179B","yellow"
"PDE3B","green"
"LOC101930405","turquoise"
"B3GNT1","blue"
"AASS","pink"
"ATP6V1A","turquoise"
"EIF3M","red"
"ARL4C","turquoise"
"TIMP1","turquoise"
"TMC6","turquoise"
"ZNF200","brown"
"MED13L","brown"
"ADRBK2","turquoise"
"KLHDC2","blue"
"PCGF3","brown"
"DIAPH1","turquoise"
"ZNF432","yellow"
"STK39","blue"
"FANCF","brown"
"SIGLEC9","blue"
"OR2A20P ","brown"
"UBR2","green"
"PREPL","blue"
"DBT","black"
"CR1","blue"
"SKP2","brown"
"TRIM17","green"
"FIS1","purple"
"FXYD2 ","green"
"VPS13A","blue"
"MIR3658 ","red"
"ACVR1B","turquoise"
"SPEN","turquoise"
"GAL","brown"
"NUMA1","purple"
"ZC3H7A","blue"
"PSMC6","yellow"
"NOP16","red"
"FLNC","turquoise"
"KIF20A","turquoise"
"MYO1E","grey"
"CAPRIN2","brown"
"DUSP8 ","greenyellow"
"ADH5","blue"
"LYRM1","green"
"ANKMY2","red"
"LACTB2","brown"
"NRP2","turquoise"
"TFB2M","red"
"CCDC25","black"
"MPDZ","blue"
"JUND","greenyellow"
"WFDC1","black"
"FAM124B","blue"
"TTC37","brown"
"FAM171A1","magenta"
"PLCB1","turquoise"
"GDE1","black"
"SSBP3","yellow"
"CHIC2","green"
"RBM15","yellow"
"DNMT1","turquoise"
"CAND2","blue"
"MIR6716 ","turquoise"
"MIR5193 ","red"
"CSNK1G3","black"
"TNFSF11","turquoise"
"PSMA3","blue"
"ZNF217","yellow"
"CLEC2B","turquoise"
"ZBTB44","green"
"PDLIM5","pink"
"ADAM10","brown"
"NBN","green"
"NEMF","yellow"
"ZCCHC24","blue"
"KIAA1033","brown"
"DHX9","green"
"PANX1","red"
"FOSL1","red"
"ACSL3","yellow"
"CYP11A1","turquoise"
"SSR1","yellow"
"RIT1","turquoise"
"CSRP1","blue"
"PPFIA1","yellow"
"M6PR ","turquoise"
"EMP3","turquoise"
"LANCL1","blue"
"COA3","green"
"DST","turquoise"
"NMD3","red"
"VKORC1","yellow"
"GLCE","blue"
"DESI2","brown"
"TAB2","black"
"KIAA0100","yellow"
"KLF5","turquoise"
"C1orf174","yellow"
"FAM114A1","red"
"IRF6","green"
"ARPC2","turquoise"
"CTSG","brown"
"PAIP1","yellow"
"PDE8A","brown"
"IFI35","turquoise"
"UBE2B","yellow"
"ZZZ3","yellow"
"ACHE","green"
"KIF2A","turquoise"
"KCTD3","yellow"
"C1QBP","red"
"IDH1","brown"
"CDK17","yellow"
"LOC102725198 ","red"
"HERC1","brown"
"ST3GAL1","brown"
"WDFY3","yellow"
"PTPN12","green"
"DERL1","turquoise"
"COX17 ","black"
"TTTY15","greenyellow"
"LRCH4 ","black"
"DBN1","blue"
"LSG1","red"
"BCAT1","turquoise"
"LRRC1","blue"
"TGFBI","pink"
"ARPC4","yellow"
"UBE2A","turquoise"
"TCEAL2","pink"
"RERE","blue"
"EI24","green"
"UCHL1","turquoise"
"SEL1L","turquoise"
"SLC46A3","red"
"LOC100129361","yellow"
"YTHDF2","yellow"
"ALPK1","black"
"RNASE6","turquoise"
"ITGAX","blue"
"DBET ","green"
"MMP19","blue"
"PSME1","turquoise"
"RETSAT","pink"
"PTPN21","turquoise"
"NR3C1","brown"
"BLVRA","turquoise"
"C17orf59","green"
"PAXBP1","yellow"
"UCHL3","blue"
"C1D","yellow"
"ZNF232","blue"
"PNMA1","green"
"TAOK2","green"
"CARD9 ","yellow"
"CD70","turquoise"
"CTSA","yellow"
"ZNF45","brown"
"CLCF1","brown"
"ACOT1 ","pink"
"AGPAT2","pink"
"KAT2A","black"
"KCTD12","yellow"
"IFNGR1","red"
"SORT1","blue"
"USP48","brown"
"GPR56","turquoise"
"ROR1","brown"
"EHBP1L1","green"
"DMPK","green"
"NRAS","turquoise"
"MCM4","yellow"
"TAGLN2","pink"
"USP18","green"
"SMC1A","yellow"
"NRIP2","purple"
"WDR47","yellow"
"MCM2","turquoise"
"ADK","black"
"URB2","red"
"BET1","brown"
"MCF2L","turquoise"
"NHLRC2","yellow"
"EPHB4","green"
"CADM3","black"
"CCDC109B","turquoise"
"MRPL20","red"
"RNF219","yellow"
"COPS8","yellow"
"LIMS2","blue"
"MST4","brown"
"CYCS","blue"
"CTCF","brown"
"MKNK1","pink"
"ZBTB14","brown"
"SLC27A3","red"
"CYP51A1 ","red"
"LGALS1","magenta"
"SPARCL1","turquoise"
"RPL26L1","purple"
"CLSTN3","green"
"PLXND1","red"
"CEBPG","yellow"
"CFDP1","blue"
"BSG","green"
"MFNG","turquoise"
"TPX2","turquoise"
"PARP8","turquoise"
"PTPRM","blue"
"RAI14","pink"
"TMEM38B","yellow"
"FEN1","turquoise"
"STAC","turquoise"
"CCDC88C","turquoise"
"AC074212.6","green"
"SOX13","turquoise"
"NPY1R","pink"
"LETMD1","blue"
"DFFB","turquoise"
"SCAMP2","yellow"
"TIAM1","turquoise"
"PKP4","yellow"
"LY6E","turquoise"
"HDAC1","brown"
"CASK","brown"
"CAPZB","magenta"
"PPID","yellow"
"TSC22D4","green"
"PIK3R5","blue"
"MKI67","turquoise"
"PSEN1","brown"
"HIRA","red"
"PCDH17","magenta"
"RYR1","turquoise"
"MINOS1P1","black"
"ADAP1","turquoise"
"RPL35A","turquoise"
"AHNAK","red"
"SMA4","black"
"PTK2B","turquoise"
"ABTB2","turquoise"
"LPAR1","blue"
"MPST","turquoise"
"C8orf33","red"
"CDKN2AIP","blue"
"ARMC1","green"
"TNRC6B","red"
"SPIN1","green"
"CPD","green"
"PNOC","turquoise"
"PTK7","green"
"FHOD3","turquoise"
"PCSK1","yellow"
"FBXL7","turquoise"
"ALDH1A2","green"
"LOC101928378","green"
"ZSWIM8","black"
"SRP19","purple"
"TMF1","brown"
"PPP2R4","yellow"
"STAMBP","brown"
"SENP6","yellow"
"GPR153","purple"
"FKBP14","purple"
"PRPS2","yellow"
"MATN4","green"
"NDRG1","turquoise"
"SEC61G","blue"
"ATG14","blue"
"RABAC1","turquoise"
"EIF3A","turquoise"
"FADS2","yellow"
"FSTL3","brown"
"SMAGP","turquoise"
"DDX5 ","black"
"MARCH7","yellow"
"MRPL13","green"
"GMFB","yellow"
"MAN1A1","pink"
"CDC7","brown"
"WDR6","red"
"SLC6A3","turquoise"
"GGT1 ","turquoise"
"TCF4","red"
"SIPA1L1","green"
"RGS10","turquoise"
"NUP210","turquoise"
"NOL8","purple"
"WASF2","red"
"HSPA4","turquoise"
"PRRC2C","red"
"PDIA3","turquoise"
"MAD1L1","red"
"LRCH4","turquoise"
"TRIM24","brown"
"PLD1","grey"
"HMBOX1","green"
"UBTF","green"
"TUBD1","brown"
"FGF13","pink"
"MYD88","turquoise"
"CGRRF1","yellow"
"TPST2","turquoise"
"UTP3","red"
"UBE2E3","blue"
"MEX3D","green"
"GPR144","green"
"SLC16A10","blue"
"BMP1","yellow"
"CCDC90B","brown"
"DISC1 ","turquoise"
"TM9SF3","yellow"
"ITGA10","turquoise"
"SAR1A","turquoise"
"RPA3","turquoise"
"TRIM34 ","brown"
"NDC80","turquoise"
"ATHL1","green"
"TMEM168","yellow"
"DHRS7","brown"
"AGFG1","red"
"MED15","green"
"ABCC6 ","turquoise"
"METRN","green"
"RABEP1","blue"
"ANKRD12","brown"
"ZMYND8","turquoise"
"KCNAB2","yellow"
"RPN1","turquoise"
"MAFG","turquoise"
"EIF4G3","green"
"MTIF2","brown"
"NBEA","blue"
"COL4A3BP","turquoise"
"ITGA5","brown"
"DNAJC15","turquoise"
"RAD21","yellow"
"PTPN13","blue"
"SEPW1","red"
"ZFYVE21","blue"
"MAPK13","turquoise"
"RBM7","yellow"
"VGLL3","blue"
"ABCB1","brown"
"DYNC1LI1","yellow"
"SSFA2","green"
"RGS19","turquoise"
"FAM21A ","red"
"CCDC22","red"
"ABCB1 ","brown"
"LOC440434","black"
"MRS2","brown"
"PIK3R4","brown"
"HMGN1","turquoise"
"GNB2","green"
"FAM178A","brown"
"SYNPO","red"
"THADA","green"
"ICAM2","black"
"GSE1","blue"
"Igk","turquoise"
"CST3","turquoise"
"DHX29","yellow"
"SLC35B1","blue"
"RNASEH2B","green"
"TCF3","turquoise"
"EIF4E2","turquoise"
"TASP1","yellow"
"PRR5","magenta"
"PBK","turquoise"
"MUC5AC","green"
"E2F5","turquoise"
"MET","grey"
"CYFIP1","turquoise"
"ARID4A","blue"
"MLXIPL","green"
"AP1B1","green"
"CAMKK2","grey"
"RYK","yellow"
"EMG1","red"
"KIFC3","green"
"NARF","turquoise"
"GSTO1","turquoise"
"MUT","blue"
"AKAP17A","black"
"REL","turquoise"
"NFKB2","yellow"
"SLC16A6","blue"
"RANBP3","green"
"SLC17A5","red"
"INTS3","black"
"MRPL23","red"
"STK3","yellow"
"BTG3","red"
"CASC3 ","turquoise"
"ZNF219","green"
"HERC6","brown"
"RHOG","pink"
"ABCD3","brown"
"STX4","yellow"
"KIF1B","red"
"ARMCX3","blue"
"CLIP1","red"
"HEXA","red"
"BRD7","brown"
"MRPL42","red"
"MELK","turquoise"
"BLM","turquoise"
"ABLIM3","blue"
"SFXN3","red"
"CGREF1","green"
"MTERF3","purple"
"SFTPB","green"
"JMJD6","red"
"CLPX","yellow"
"EREG","brown"
"IKBKAP","brown"
"SSSCA1","red"
"UAP1L1","yellow"
"SERINC5","grey"
"TGDS","green"
"MEIS1","blue"
"MAST4","blue"
"PRUNE2","red"
"UNC93B1","green"
"PTPLAD1","black"
"AZI2","yellow"
"TENM1","blue"
"RPF1","red"
"OSBPL9","blue"
"TMEM243","brown"
"PSG9","green"
"ZNF562","brown"
"COL9A2","turquoise"
"DEXI","turquoise"
"DCTN1 ","red"
"KNOP1","green"
"C18orf8","brown"
"NSUN5P1","black"
"COPB1","yellow"
"PRDX1","turquoise"
"MFAP3","magenta"
"SS18L1","yellow"
"S100B","pink"
"IGHD ","green"
"GJB1","brown"
"GLTSCR1L","blue"
"CDK14","pink"
"C16orf80","blue"
"ASCC1","blue"
"TRIM68","brown"
"NAGPA","turquoise"
"HERPUD1","purple"
"PIGH","grey"
"ZYX","blue"
"ABI1","yellow"
"MED6","grey"
"ATG2A","green"
"DKC1 ","red"
"B3GALNT1","black"
"FBL","red"
"MAGEF1","brown"
"ANKRA2","blue"
"ZNF148","red"
"GNPDA1","turquoise"
"SC5D","brown"
"ABHD5","yellow"
"ASB13","pink"
"NSL1","brown"
"SH3BP1","green"
"KIAA1644","brown"
"FAM21C ","red"
"RAP2C","brown"
"SYNE1","red"
"SMARCA2","red"
"ELOVL5","red"
"H6PD","turquoise"
"HPRT1","blue"
"ATP5G2","grey"
"ATP10B","green"
"PPP5C","brown"
"CTLA4","turquoise"
"NEU1","green"
"MRPS28","red"
"APBB2","blue"
"MPHOSPH10","red"
"PSMD3","brown"
"SIGLEC8","green"
"CPT1A","blue"
"CASP8AP2","blue"
"HIST1H4J","turquoise"
"KLF10","turquoise"
"PTPLA","pink"
"NMNAT2","blue"
"CRIPT","brown"
"MYO5A","turquoise"
"DEPTOR","blue"
"ATP10D","blue"
"STAG1","blue"
"OSBPL1A","blue"
"ZC3H15","red"
"PCTP","blue"
"COBLL1","blue"
"JAM3","turquoise"
"ITSN1","turquoise"
"NDN","blue"
"EBNA1BP2 ","red"
"NAA16","yellow"
"NT5C","green"
"PRKCI","grey"
"CERS4","green"
"AGPAT5","purple"
"BNIP2","yellow"
"FAM13B","yellow"
"LTC4S","green"
"DEF6","turquoise"
"S100A12","blue"
"LOC101929550","green"
"DCUN1D4","blue"
"RHOQ","yellow"
"HSDL2","blue"
"MUC8","green"
"ARHGEF7","blue"
"LSM1","purple"
"DNM3","blue"
"SNRNP70","black"
"GRIN1","green"
"GNLY","turquoise"
"AAK1","black"
"RACGAP1","turquoise"
"EDEM3","yellow"
"MLPH","turquoise"
"RAB20","turquoise"
"PHB","turquoise"
"BORA","turquoise"
"NAA15","red"
"TLE6","green"
"STAP1","turquoise"
"CHMP5","yellow"
"CREB1","turquoise"
"NOL7","red"
"MAPK6","turquoise"
"RP1-223E5.4 ","green"
"FADD","greenyellow"
"KLHL24","black"
"NCKIPSD","blue"
"SATB2","blue"
"ZNF358","purple"
"SAC3D1","brown"
"BAG5","brown"
"TST","pink"
"MTMR1","turquoise"
"RPS10P2 ","yellow"
"CGB ","green"
"JAG2","blue"
"LRRC40","black"
"PELI2","turquoise"
"FLCN","black"
"FBXO3","yellow"
"TRAM2","red"
"SCYL3","brown"
"SRPK1","purple"
"TLE2","turquoise"
"ST6GALNAC2","turquoise"
"CREB3L1","red"
"LOC101060521 ","red"
"MRPS33","brown"
"WDR44","blue"
"TEX264","red"
"PPP1R14B","blue"
"TUBB","yellow"
"PSPC1","yellow"
"GBA ","turquoise"
"PKD1P1","black"
"SMARCE1","yellow"
"ARC","brown"
"FDX1","grey"
"HSD17B11","blue"
"ACTG2","blue"
"CYB561D2","turquoise"
"TBCC","brown"
"ACTR3","turquoise"
"SLC11A2","grey"
"OGDH","green"
"RPL23 ","turquoise"
"PEX19","blue"
"MLXIP","black"
"LOC101929864 ","turquoise"
"FGF2","green"
"PMVK","green"
"LOC150776 ","black"
"CREBL2","brown"
"GLS","brown"
"ASPSCR1","green"
"PTPN22","blue"
"NUP43","brown"
"ENTPD4","yellow"
"CLSTN1","purple"
"CTSB","turquoise"
"NUDT4 ","yellow"
"SYNDIG1","turquoise"
"ZCCHC10","yellow"
"SMC6","brown"
"RNF130","turquoise"
"IL6ST","turquoise"
"PIGK","brown"
"GALC","red"
"WNT5A","turquoise"
"TMEM262","green"
"MBD4","green"
"IARS2","blue"
"AURKA","turquoise"
"CAST","blue"
"MGAT5","brown"
"TTC3 ","magenta"
"FAM3C","yellow"
"RAB40C","green"
"HOOK2","pink"
"KIAA0430","brown"
"USP3","yellow"
"LOC254896 ","green"
"GSDMD","yellow"
"POLE3","red"
"RWDD1","yellow"
"MINPP1","brown"
"AGPAT4","magenta"
"EVA1B","red"
"PDZD8","yellow"
"TMEM70","red"
"ARL2","turquoise"
"MPP1","turquoise"
"RHBDF1","turquoise"
"HERC2","blue"
"TRIM2","blue"
"GDPD5","purple"
"AKAP11","yellow"
"FAM49A","grey"
"LOC730101","turquoise"
"ZNF611","black"
"CDH13","green"
"HSP90AB1","turquoise"
"RAB9A","blue"
"ZMYM2","brown"
"PPP1R7","grey"
"CLN5","brown"
"MOAP1","blue"
"SEC63","yellow"
"TWF2","yellow"
"RNGTT","black"
"ARHGEF17","brown"
"SEC22B","turquoise"
"TERF1","blue"
"HS6ST1","brown"
"VRTN","green"
"TRMT1L","blue"
"RALA","turquoise"
"RLF","turquoise"
"PACSIN2","grey"
"CCND3","black"
"POLR1D","blue"
"SLC16A1","blue"
"KCTD17","green"
"NCOR1","brown"
"NDUFA3","turquoise"
"SELP","grey"
